
Kaby Lake3002737597,77922.179608,62602.470962,0.814817,2704.566135
Kaby Lake3002737598,77922.194012,62602.480057,0.814817,2704.566806
Kaby Lake3002737599,77922.208965,62602.489944,0.814817,2704.567478
Kaby Lake3002737600,77922.223431,62602.498855,0.814817,2704.568210
Kaby Lake3002737600,77922.236980,62602.507400,0.814817,2704.568881
Kaby Lake3002737601,77922.236980,62602.515945,0.814817,2704.568881
Kaby Lake3002737602,77922.250530,62602.525467,0.814817,2704.569553
Kaby Lake3002737603,77922.265423,62602.533462,0.814817,2704.570224
Kaby Lake3002737604,77922.279278,62602.543594,0.814817,2704.570957
Kaby Lake3002737605,77922.293133,62602.552871,0.814817,2704.571628
Kaby Lake3002737606,77922.308452,62602.562027,0.814817,2704.572238
Kaby Lake3002737607,77922.322368,62602.571365,0.814817,2704.572910
Kaby Lake3002737608,77922.337566,62602.581741,0.814817,2704.573581
Kaby Lake3002737609,77922.352276,62602.590164,0.814817,2704.574253
Kaby Lake3002737609,77922.366924,62602.599136,0.814817,2704.574863
Kaby Lake3002737610,77922.366924,62602.608596,0.814817,2704.574863
Kaby Lake3002737611,77922.381755,62602.617141,0.814817,2704.575595
Kaby Lake3002737612,77922.395916,62602.625686,0.814817,2704.576267
Kaby Lake3002737613,77922.410320,62602.634414,0.814817,2704.576938
Kaby Lake3002737614,77922.424846,62602.642715,0.814817,2704.577609
Kaby Lake3002737615,77922.440593,62602.652847,0.814817,2704.578464
Kaby Lake3002737615,77922.455852,62602.662429,0.814817,2704.579135
Kaby Lake3002737616,77922.455852,62602.671340,0.814817,2704.579135
Kaby Lake3002737617,77922.470134,62602.679153,0.814817,2704.579868
Kaby Lake3002737618,77922.484660,62602.691543,0.814817,2704.580539
Kaby Lake3002737619,77922.502483,62602.700332,0.814817,2704.581394
Kaby Lake3002737620,77922.516948,62602.710220,0.814817,2704.582126
Kaby Lake3002737621,77922.530620,62602.718459,0.814817,2704.582675
Kaby Lake3002737622,77922.544841,62602.727492,0.814817,2704.583347
Kaby Lake3002737622,77922.544841,62602.737319,0.814817,2704.583347
Kaby Lake3002737623,77922.560832,62602.751662,0.814817,2704.584201
Kaby Lake3002737624,77922.580119,62602.760634,0.814817,2704.585361
